pays,"Superficie
En km² ",PIB par habitants,espérance de vie,"Ressource en eau
Milliards de m³ ",nb. habitants
 Pologne,312685,12662,"76,85","53,6",37995529
 Portugal,92090,18984,"80,37",38,10397393
 Qatar,11586,78829,"78,42","0,06",2172065
 République centrafricaine,622984,339,"49,88",141,4804316
 République démocratique du Congo,2344858,478,"58,27",900,74877030
 République dominicaine,48671,6664,"73,32",21,10405943
 République du Congo,342000,2031,"61,67",222,4504962
 République tchèque,78865,17330,"78,28","13,15",10510566
 Roumanie,238391,8807,"74,46","42,3",19910995
 Royaume-Uni,242900,44118,"80,96",145,64510376
 Russie,17098242,8447,"71,07",4313,143819569
 Rwanda,26338,743,"63,39","9,5",11341544
 Saint-Christophe-et-Niévès,261,14618,"71,34","0,02",54944
 Salvador,21041,4023,"72,5","15,63",6107706
 Sao Tomé-et-Principe,964,1606,"66,26","2,18",186342
 Sénégal,196722,935,"65,88","25,8",14672557
 Serbie,88361,5102,"75,14","8,41",7129428
 Sierra Leone,71740,675,"50,36",160,6315627
 Singapour,710,53224,"82,35","0,6",5469700
 Slovaquie,49037,15893,"76,26","12,6",5418506
 Slovénie,20273,20712,"80,28","18,67",2062218
 Soudan,1861484,2194,"63,17",4,39350274
 Soudan du Sud,644329,1083,"55,22",26,11911184
 Sri Lanka,65610,3768,"74,24","52,8",20639000
 Suède,450295,48966,"81,7",171,9689555
 Suisse,41277,82178,"82,75","40,4",8190229
 Suriname,163820,9052,"70,99",99,538248
 Swaziland,17364,3848,"48,94","2,64",1269112
 Syrie,185180,2807,"74,72","7,13",22157800
 Tadjikistan,143100,949,"69,4","63,46",8295840
 Tanzanie,945087,969,"64,29",84,51822621
 Tchad,1284000,1011,"51,19",15,13587053
 Thaïlande,513120,5426,"74,25","224,5",67725979
 Timor oriental,14874,3330,"67,52","8,22",1212107
 Togo,56785,578,"59,13","11,5",7115163
 Trinité-et-Tobago,5130,20380,"70,31","3,84",1354483
 Tunisie,163610,3985,"73,65","4,2",10996600
 Turkménistan,488100,7534,"65,46","1,41",5307188
 Turquie,783562,9290,"75,18",227,75932348
 Ukraine,603500,2109,"71,16","53,1",45362900
 Uruguay,176215,16092,"76,84","92,2",3419516
 Venezuela,912050,4263,"74,07",805,30693827
 Viêt Nam,331212,2171,"75,76","359,4",90730000
 Yémen,527968,1235,"63,58","2,1",26183676
 Zambie,752612,1576,"59,24","80,2",15721343
 Zimbabwe,390757,1037,"55,63","12,26",15245855
,‘ ,,,,
